image_path,Сезон,Материал подошвы,Материал верха,Цвет,Страна производства
images_shoes\image_2_RTLADT624201_25076817_3_v1.jpg,мульти,не указан,"искусственная кожа, натуральная кожа",черный,
images_shoes\image_3_RTLADT624201_25076818_4_v1.jpg,мульти,не указан,"искусственная кожа, натуральная кожа",черный,
images_shoes\image_4_RTLADT624201_25076819_5_v1.jpg,мульти,не указан,"искусственная кожа, натуральная кожа",черный,
images_shoes\image_0_MP002XM0V9U5_21516533_1_v1_2x.jpeg,зима,резина,"натуральная кожа, натуральный нубук",черный,
images_shoes\image_1_MP002XM0V9U5_21516293_2_v1_2x.jpeg,зима,резина,"натуральная кожа, натуральный нубук",черный,
images_shoes\image_2_MP002XM0V9U5_21516532_3_v1_2x.jpeg,зима,резина,"натуральная кожа, натуральный нубук",черный,
images_shoes\image_3_MP002XM0V9U5_21516330_4_v1_2x.jpeg,зима,резина,"натуральная кожа, натуральный нубук",черный,
images_shoes\image_4_MP002XM0V9U5_21516531_5_v1_2x.jpeg,зима,резина,"натуральная кожа, натуральный нубук",черный,
images_shoes\image_5_MP002XM0V9U5_21516318_6_v1_2x.jpeg,зима,резина,"натуральная кожа, натуральный нубук",черный,
images_shoes\image_0_RTLADS410301_24632311_1_v1_2x.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_1_RTLADS410301_24632312_2_v1_2x.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_2_RTLADS410301_24632313_3_v1_2x.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_3_RTLADS410301_24632314_4_v1_2x.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_4_RTLADS410301_24632315_5_v1_2x.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_0_MP002XM0BXNP_25064385_1_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_1_MP002XM0BXNP_25064353_2_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_2_MP002XM0BXNP_25064363_3_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_3_MP002XM0BXNP_25064343_4_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_4_MP002XM0BXNP_25064347_5_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_5_MP002XM0BXNP_25064373_6_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_0_MP002XM0B6RX_24052233_1_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, натуральный нубук",серый,
images_shoes\image_1_MP002XM0B6RX_24052234_2_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, натуральный нубук",серый,
images_shoes\image_2_MP002XM0B6RX_24052235_3_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, натуральный нубук",серый,
images_shoes\image_3_MP002XM0B6RX_24052236_4_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, натуральный нубук",серый,
images_shoes\image_4_MP002XM0B6RX_24052237_5_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, натуральный нубук",серый,
images_shoes\image_0_MP002XM0BUU9_24915863_1_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_1_MP002XM0BUU9_24915878_2_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_2_MP002XM0BUU9_24915869_3_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_3_MP002XM0BUU9_24915885_4_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_4_MP002XM0BUU9_24915895_5_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_0_RTLADS639001_25008455_1_v1_2x.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_1_RTLADS639001_25008456_2_v1_2x.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_2_RTLADS639001_25008457_3_v1_2x.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_3_RTLADS639001_25008458_4_v1_2x.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_4_RTLADS639001_25008459_5_v1_2x.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_0_MP002XM08SU6_17946777_1_v3.jpg,демисезон,термоэластопласт,натуральная кожа,синий,
images_shoes\image_1_MP002XM08SU6_17946778_2_v2.jpg,демисезон,термоэластопласт,натуральная кожа,синий,
images_shoes\image_2_MP002XM08SU6_17946779_3_v2.jpg,демисезон,термоэластопласт,натуральная кожа,синий,
images_shoes\image_3_MP002XM08SU6_17946780_4_v2.jpg,демисезон,термоэластопласт,натуральная кожа,синий,
images_shoes\image_4_MP002XM08SU6_17946781_5_v2.jpg,демисезон,термоэластопласт,натуральная кожа,синий,
images_shoes\image_0_RTLAAZ634503_18084353_1_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_1_RTLAAZ634503_18084354_2_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_2_RTLAAZ634503_18084355_3_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_3_RTLAAZ634503_18084356_4_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_4_RTLAAZ634503_18084357_5_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_0_MP002XM0BFBU_24256977_1_v1_2x.jpeg,демисезон,резина,"натуральная кожа, натуральный спилок",черный,
images_shoes\image_1_MP002XM0BFBU_24256984_2_v1_2x.jpeg,демисезон,резина,"натуральная кожа, натуральный спилок",черный,
images_shoes\image_2_MP002XM0BFBU_24256952_3_v1_2x.jpeg,демисезон,резина,"натуральная кожа, натуральный спилок",черный,
images_shoes\image_3_MP002XM0BFBU_24256962_4_v1_2x.jpeg,демисезон,резина,"натуральная кожа, натуральный спилок",черный,
images_shoes\image_4_MP002XM0BFBU_24256970_5_v1_2x.jpeg,демисезон,резина,"натуральная кожа, натуральный спилок",черный,
images_shoes\image_0_RTLADJ093701_24099881_1_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_1_RTLADJ093701_24099882_2_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_2_RTLADJ093701_24099883_3_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_3_RTLADJ093701_24099884_4_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_4_RTLADJ093701_24099885_5_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_0_RTLADB090801_21541749_1_v1.jpg,демисезон,этиленвинилацетат,полиуретан,хаки,
images_shoes\image_1_RTLADB090801_21541750_2_v1.jpg,демисезон,этиленвинилацетат,полиуретан,хаки,
images_shoes\image_2_RTLADB090801_21541751_3_v1.jpg,демисезон,этиленвинилацетат,полиуретан,хаки,
images_shoes\image_3_RTLADB090801_21541752_4_v1.jpg,демисезон,этиленвинилацетат,полиуретан,хаки,
images_shoes\image_4_RTLADB090801_21541753_5_v1.jpg,демисезон,этиленвинилацетат,полиуретан,хаки,
images_shoes\image_0_XD001XM00A3F_25283057_1_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_1_XD001XM00A3F_25283063_2_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_2_XD001XM00A3F_25283066_3_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_3_XD001XM00A3F_25283070_4_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_4_XD001XM00A3F_25283074_5_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_5_XD001XM00A3F_25283077_6_v1_2x.jpeg,демисезон,резина,натуральная кожа,черный,
images_shoes\image_0_MP002XM0BB4P_24490039_1_v1.jpg,зима,термопластичная резина,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM0BB4P_24490040_2_v1.jpg,зима,термопластичная резина,натуральная кожа,коричневый,
images_shoes\image_2_MP002XM0BB4P_24490041_3_v1.jpg,зима,термопластичная резина,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM0BB4P_24490042_4_v1.jpg,зима,термопластичная резина,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM0BB4P_24490043_5_v1.jpg,зима,термопластичная резина,натуральная кожа,коричневый,
images_shoes\image_0_MP002XM0BRTE_25050929_1_v1.jpg,зима,резина,"натуральный нубук, резина",черный,
images_shoes\image_1_MP002XM0BRTE_25050930_2_v1.jpg,зима,резина,"натуральный нубук, резина",черный,
images_shoes\image_2_MP002XM0BRTE_25050931_3_v1.jpg,зима,резина,"натуральный нубук, резина",черный,
images_shoes\image_3_MP002XM0BRTE_25050932_4_v1.jpg,зима,резина,"натуральный нубук, резина",черный,
images_shoes\image_4_MP002XM0BRTE_25050933_5_v1.jpg,зима,резина,"натуральный нубук, резина",черный,
images_shoes\image_0_RTLACU237001_20846553_1_v1.jpg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_1_RTLACU237001_20846554_2_v1.jpg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_2_RTLACU237001_20846555_3_v1.jpg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_3_RTLACU237001_20846556_4_v1.jpg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_4_RTLACU237001_20846557_5_v1.jpg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_5_RTLACU237001_20846558_6_v1.jpg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_0_MP002XM255L9_21496514_1_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_1_MP002XM255L9_21496515_2_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_2_MP002XM255L9_21496516_3_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_3_MP002XM255L9_21496517_4_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_4_MP002XM255L9_21496518_5_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_5_MP002XM255L9_21496519_6_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_0_NI464AMKDOK5_12348788_1_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_1_NI464AMKDOK5_12348789_2_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_2_NI464AMKDOK5_12348790_3_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_3_NI464AMKDOK5_12348791_4_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_4_NI464AMKDOK5_12348792_5_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_0_MP002XM0BNKT_24590328_1_v2.jpeg,лето,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_1_MP002XM0BNKT_24590334_2_v2.jpeg,лето,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_2_MP002XM0BNKT_24590330_3_v2.jpeg,лето,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_3_MP002XM0BNKT_24590335_4_v2.jpeg,лето,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_4_MP002XM0BNKT_24589839_5_v2.jpeg,лето,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_5_MP002XM0BNKT_24590338_6_v2.jpeg,лето,"термопластичная резина, этиленвинилацетат",текстиль,хаки,
images_shoes\image_0_RTLACY237401_21699717_1_v1.jpg,мульти,резина,"искусственная кожа, полимер, текстиль",синий,
images_shoes\image_1_RTLACY237401_21699718_2_v1.jpg,мульти,резина,"искусственная кожа, полимер, текстиль",синий,
images_shoes\image_2_RTLACY237401_21699719_3_v1.jpg,мульти,резина,"искусственная кожа, полимер, текстиль",синий,
images_shoes\image_3_RTLACY237401_21699720_4_v1.jpg,мульти,резина,"искусственная кожа, полимер, текстиль",синий,
images_shoes\image_4_RTLACY237401_21699721_5_v1.jpg,мульти,резина,"искусственная кожа, полимер, текстиль",синий,
images_shoes\image_0_MP002XM0BPU3_25186669_1_v1.jpg,мульти,термоэластопласт,натуральная кожа,синий,
images_shoes\image_1_MP002XM0BPU3_25186670_2_v1.jpg,мульти,термоэластопласт,натуральная кожа,синий,
images_shoes\image_2_MP002XM0BPU3_25186671_3_v1.jpg,мульти,термоэластопласт,натуральная кожа,синий,
images_shoes\image_3_MP002XM0BPU3_25186672_4_v1.jpg,мульти,термоэластопласт,натуральная кожа,синий,
images_shoes\image_4_MP002XM0BPU3_25186673_5_v1.jpg,мульти,термоэластопласт,натуральная кожа,синий,
images_shoes\image_0_MP002XM0BY0E_25240854_1_v1.jpg,демисезон,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM0BY0E_25240855_2_v1.jpg,демисезон,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_2_MP002XM0BY0E_25240856_3_v1.jpg,демисезон,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM0BY0E_25240857_4_v1.jpg,демисезон,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM0BY0E_25240858_5_v1.jpg,демисезон,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_0_MP002XM1GZVR_13231404_1_v1.jpg,демисезон,"резина, термополиуретан, этиленвинилацетат","натуральная замша, текстиль",коричневый,
images_shoes\image_1_MP002XM1GZVR_13231405_2_v1.jpg,демисезон,"резина, термополиуретан, этиленвинилацетат","натуральная замша, текстиль",коричневый,
images_shoes\image_2_MP002XM1GZVR_13231406_3_v1.jpg,демисезон,"резина, термополиуретан, этиленвинилацетат","натуральная замша, текстиль",коричневый,
images_shoes\image_3_MP002XM1GZVR_13231407_4_v1.jpg,демисезон,"резина, термополиуретан, этиленвинилацетат","натуральная замша, текстиль",коричневый,
images_shoes\image_4_MP002XM1GZVR_13231408_5_v1.jpg,демисезон,"резина, термополиуретан, этиленвинилацетат","натуральная замша, текстиль",коричневый,
images_shoes\image_0_RTLACZ498201_21182621_1_v1.jpg,зима,"резина, этиленвинилацетат","натуральная кожа, текстиль",мультиколор,
images_shoes\image_1_RTLACZ498201_21182622_2_v1.jpg,зима,"резина, этиленвинилацетат","натуральная кожа, текстиль",мультиколор,
images_shoes\image_2_RTLACZ498201_21182623_3_v1.jpg,зима,"резина, этиленвинилацетат","натуральная кожа, текстиль",мультиколор,
images_shoes\image_3_RTLACZ498201_21182624_4_v1.jpg,зима,"резина, этиленвинилацетат","натуральная кожа, текстиль",мультиколор,
images_shoes\image_4_RTLACZ498201_21182625_5_v1.jpg,зима,"резина, этиленвинилацетат","натуральная кожа, текстиль",мультиколор,
images_shoes\image_0_MP002XM0T0LD_20328909_1_v2.jpg,демисезон,полиуретан,натуральная кожа,черный,
images_shoes\image_1_MP002XM0T0LD_20328910_2_v2.jpg,демисезон,полиуретан,натуральная кожа,черный,
images_shoes\image_2_MP002XM0T0LD_20328911_3_v2.jpg,демисезон,полиуретан,натуральная кожа,черный,
images_shoes\image_3_MP002XM0T0LD_20328912_4_v2.jpg,демисезон,полиуретан,натуральная кожа,черный,
images_shoes\image_4_MP002XM0T0LD_20328913_5_v2.jpg,демисезон,полиуретан,натуральная кожа,черный,
images_shoes\image_0_MP002XM0BLPY_24635697_1_v1.jpg,демисезон,"резина, этиленвинилацетат","натуральный нубук, текстиль",синий,
images_shoes\image_1_MP002XM0BLPY_24635698_2_v1.jpg,демисезон,"резина, этиленвинилацетат","натуральный нубук, текстиль",синий,
images_shoes\image_2_MP002XM0BLPY_24635699_3_v1.jpg,демисезон,"резина, этиленвинилацетат","натуральный нубук, текстиль",синий,
images_shoes\image_3_MP002XM0BLPY_24635700_4_v1.jpg,демисезон,"резина, этиленвинилацетат","натуральный нубук, текстиль",синий,
images_shoes\image_4_MP002XM0BLPY_24635701_5_v1.jpg,демисезон,"резина, этиленвинилацетат","натуральный нубук, текстиль",синий,
images_shoes\image_0_MP002XM0BF1O_24316729_1_v1.jpg,демисезон,"резина, этиленвинилацетат",натуральный нубук,хаки,
images_shoes\image_1_MP002XM0BF1O_24316730_2_v1.jpg,демисезон,"резина, этиленвинилацетат",натуральный нубук,хаки,
images_shoes\image_2_MP002XM0BF1O_24316731_3_v1.jpg,демисезон,"резина, этиленвинилацетат",натуральный нубук,хаки,
images_shoes\image_3_MP002XM0BF1O_24316732_4_v1.jpg,демисезон,"резина, этиленвинилацетат",натуральный нубук,хаки,
images_shoes\image_4_MP002XM0BF1O_24316733_5_v1.jpg,демисезон,"резина, этиленвинилацетат",натуральный нубук,хаки,
images_shoes\image_0_RTLADT624301_24953688_1_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_1_RTLADT624301_24953689_2_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_2_RTLADT624301_24953690_3_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_3_RTLADT624301_24953691_4_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_4_RTLADT624301_24953692_5_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_0_MP002XM25793_23782681_1_v2.jpg,демисезон,"термопластичная резина, филон","искусственная кожа, искусственный нубук, полиуретан, текстиль",хаки,
images_shoes\image_1_MP002XM25793_23782682_2_v2.jpg,демисезон,"термопластичная резина, филон","искусственная кожа, искусственный нубук, полиуретан, текстиль",хаки,
images_shoes\image_2_MP002XM25793_23782683_3_v2.jpg,демисезон,"термопластичная резина, филон","искусственная кожа, искусственный нубук, полиуретан, текстиль",хаки,
images_shoes\image_3_MP002XM25793_23782684_4_v2.jpg,демисезон,"термопластичная резина, филон","искусственная кожа, искусственный нубук, полиуретан, текстиль",хаки,
images_shoes\image_4_MP002XM25793_23782685_5_v2.jpg,демисезон,"термопластичная резина, филон","искусственная кожа, искусственный нубук, полиуретан, текстиль",хаки,
images_shoes\image_0_RTLADU595401_25265539_1_v1.jpg,зима,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_1_RTLADU595401_25265540_2_v1.jpg,зима,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_2_RTLADU595401_25265541_3_v1.jpg,зима,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_3_RTLADU595401_25265542_4_v1.jpg,зима,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_4_RTLADU595401_25265543_5_v1.jpg,зима,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_0_MP002XM0B3JY_20939575_1_v2.jpg,демисезон,резина,натуральный нубук,серый,
images_shoes\image_1_MP002XM0B3JY_20939579_2_v2.jpg,демисезон,резина,натуральный нубук,серый,
images_shoes\image_2_MP002XM0B3JY_20939581_3_v2.jpg,демисезон,резина,натуральный нубук,серый,
images_shoes\image_3_MP002XM0B3JY_20939586_4_v2.jpg,демисезон,резина,натуральный нубук,серый,
images_shoes\image_4_MP002XM0B3JY_20939588_5_v2.jpg,демисезон,резина,натуральный нубук,серый,
images_shoes\image_0_MP002XM0BDI5_24210512_1_v1.jpg,мульти,термопластичная резина,натуральная кожа,черный,
images_shoes\image_1_MP002XM0BDI5_24210513_2_v1.jpg,мульти,термопластичная резина,натуральная кожа,черный,
images_shoes\image_2_MP002XM0BDI5_24210514_3_v1.jpg,мульти,термопластичная резина,натуральная кожа,черный,
images_shoes\image_3_MP002XM0BDI5_24210515_4_v1.jpg,мульти,термопластичная резина,натуральная кожа,черный,
images_shoes\image_4_MP002XM0BDI5_24210516_5_v1.jpg,мульти,термопластичная резина,натуральная кожа,черный,
images_shoes\image_0_MP002XM0B6S5_24058306_1_v1.jpg,демисезон,термопластичная резина,натуральная кожа,черный,
images_shoes\image_1_MP002XM0B6S5_24058307_2_v1.jpg,демисезон,термопластичная резина,натуральная кожа,черный,
images_shoes\image_2_MP002XM0B6S5_24058308_3_v1.jpg,демисезон,термопластичная резина,натуральная кожа,черный,
images_shoes\image_3_MP002XM0B6S5_24058309_4_v1.jpg,демисезон,термопластичная резина,натуральная кожа,черный,
images_shoes\image_4_MP002XM0B6S5_24058310_5_v1.jpg,демисезон,термопластичная резина,натуральная кожа,черный,
images_shoes\image_0_RTLADF890901_22147508_1_v1.jpg,мульти,резина,"искусственная кожа, композиционная кожа",белый,
images_shoes\image_1_RTLADF890901_22147509_2_v1.jpg,мульти,резина,"искусственная кожа, композиционная кожа",белый,
images_shoes\image_2_RTLADF890901_22147510_3_v1.jpg,мульти,резина,"искусственная кожа, композиционная кожа",белый,
images_shoes\image_3_RTLADF890901_22147511_4_v1.jpg,мульти,резина,"искусственная кожа, композиционная кожа",белый,
images_shoes\image_4_RTLADF890901_22147512_5_v1.jpg,мульти,резина,"искусственная кожа, композиционная кожа",белый,
images_shoes\image_0_MP002XM0BTEK_25309248_1_v1.jpg,демисезон,"филон, термоэластопласт","искусственная кожа, натуральная кожа, текстиль",хаки,
images_shoes\image_1_MP002XM0BTEK_25309249_2_v1.jpg,демисезон,"филон, термоэластопласт","искусственная кожа, натуральная кожа, текстиль",хаки,
images_shoes\image_2_MP002XM0BTEK_25309250_3_v1.jpg,демисезон,"филон, термоэластопласт","искусственная кожа, натуральная кожа, текстиль",хаки,
images_shoes\image_3_MP002XM0BTEK_25309251_4_v1.jpg,демисезон,"филон, термоэластопласт","искусственная кожа, натуральная кожа, текстиль",хаки,
images_shoes\image_4_MP002XM0BTEK_25309252_5_v1.jpg,демисезон,"филон, термоэластопласт","искусственная кожа, натуральная кожа, текстиль",хаки,
images_shoes\image_0_RTLADO517801_24211284_1_v1.jpg,мульти,резина,натуральная кожа,синий,
images_shoes\image_1_RTLADO517801_24211285_2_v1.jpg,мульти,резина,натуральная кожа,синий,
images_shoes\image_2_RTLADO517801_24211286_3_v1.jpg,мульти,резина,натуральная кожа,синий,
images_shoes\image_3_RTLADO517801_24211287_4_v1.jpg,мульти,резина,натуральная кожа,синий,
images_shoes\image_4_RTLADO517801_24211288_5_v1.jpg,мульти,резина,натуральная кожа,синий,
images_shoes\image_0_MP002XM0BW0T_24967958_1_v2_2x.jpg,демисезон,резина,искусственная кожа,черный,
images_shoes\image_1_MP002XM0BW0T_24967625_2_v2_2x.jpg,демисезон,резина,искусственная кожа,черный,
images_shoes\image_2_MP002XM0BW0T_24967638_3_v2_2x.jpg,демисезон,резина,искусственная кожа,черный,
images_shoes\image_3_MP002XM0BW0T_24967650_4_v2_2x.jpg,демисезон,резина,искусственная кожа,черный,
images_shoes\image_4_MP002XM0BW0T_24967660_5_v2_2x.jpg,демисезон,резина,искусственная кожа,черный,
images_shoes\image_5_MP002XM0BW0T_24967665_6_v2_2x.jpg,демисезон,резина,искусственная кожа,черный,
images_shoes\image_0_MP002XM1UD2Y_21410024_1_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_1_MP002XM1UD2Y_21410025_2_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_2_MP002XM1UD2Y_21410027_3_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_3_MP002XM1UD2Y_21410028_4_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_4_MP002XM1UD2Y_21410029_5_v1.jpg,зима,термоэластопласт,натуральная кожа,черный,
images_shoes\image_0_RTLADS538201_24466910_1_v1.jpg,мульти,резина,натуральная замша,зеленый,
images_shoes\image_1_RTLADS538201_24466911_2_v1.jpg,мульти,резина,натуральная замша,зеленый,
images_shoes\image_2_RTLADS538201_24466912_3_v1.jpg,мульти,резина,натуральная замша,зеленый,
images_shoes\image_3_RTLADS538201_24466913_4_v1.jpg,мульти,резина,натуральная замша,зеленый,
images_shoes\image_4_RTLADS538201_24466914_5_v1.jpg,мульти,резина,натуральная замша,зеленый,
images_shoes\image_0_XD001XM00984_25074710_1_v1_2x.jpeg,демисезон,резина,спилок,коричневый,
images_shoes\image_1_XD001XM00984_25074714_2_v1_2x.jpeg,демисезон,резина,спилок,коричневый,
images_shoes\image_2_XD001XM00984_25074717_3_v1_2x.jpeg,демисезон,резина,спилок,коричневый,
images_shoes\image_3_XD001XM00984_25074720_4_v1_2x.jpeg,демисезон,резина,спилок,коричневый,
images_shoes\image_4_XD001XM00984_25074723_5_v1_2x.jpeg,демисезон,резина,спилок,коричневый,
images_shoes\image_5_XD001XM00984_25074726_6_v1_2x.jpeg,демисезон,резина,спилок,коричневый,
images_shoes\image_0_MP002XM006KI_22540168_1_v1.jpg,мульти,этиленвинилацетат,"натуральная кожа, текстиль",черный,
images_shoes\image_1_MP002XM006KI_22540169_2_v1.jpg,мульти,этиленвинилацетат,"натуральная кожа, текстиль",черный,
images_shoes\image_2_MP002XM006KI_22540170_3_v1.jpg,мульти,этиленвинилацетат,"натуральная кожа, текстиль",черный,
images_shoes\image_3_MP002XM006KI_22540171_4_v1.jpg,мульти,этиленвинилацетат,"натуральная кожа, текстиль",черный,
images_shoes\image_4_MP002XM006KI_22540172_5_v1.jpg,мульти,этиленвинилацетат,"натуральная кожа, текстиль",черный,
images_shoes\image_0_RTLADO790601_24394055_1_v1.jpg,мульти,резина,"полимер, текстиль",белый,
images_shoes\image_1_RTLADO790601_24394056_2_v1.jpg,мульти,резина,"полимер, текстиль",белый,
images_shoes\image_2_RTLADO790601_24394057_3_v1.jpg,мульти,резина,"полимер, текстиль",белый,
images_shoes\image_3_RTLADO790601_24394058_4_v1.jpg,мульти,резина,"полимер, текстиль",белый,
images_shoes\image_4_RTLADO790601_24394059_5_v1.jpg,мульти,резина,"полимер, текстиль",белый,
images_shoes\image_0_MP002XM0BPTO_25192722_1_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_1_MP002XM0BPTO_25192723_2_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_2_MP002XM0BPTO_25192724_3_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_3_MP002XM0BPTO_25192725_4_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_4_MP002XM0BPTO_25192726_5_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_0_XD001XM00923_24999661_1_v1.jpeg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_1_XD001XM00923_24999007_2_v1.jpeg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_2_XD001XM00923_24999023_3_v1.jpeg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_3_XD001XM00923_24999032_4_v1.jpeg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_4_XD001XM00923_24999040_5_v1.jpeg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_5_XD001XM00923_24999047_6_v1.jpeg,демисезон,полимер,натуральная кожа,черный,
images_shoes\image_0_MP002XM0BIOS_24598190_1_v1.jpg,зима,"термополиуретан, этиленвинилацетат","искусственная кожа, текстиль",черный,
images_shoes\image_1_MP002XM0BIOS_24598191_2_v1.jpg,зима,"термополиуретан, этиленвинилацетат","искусственная кожа, текстиль",черный,
images_shoes\image_2_MP002XM0BIOS_24598192_3_v1.jpg,зима,"термополиуретан, этиленвинилацетат","искусственная кожа, текстиль",черный,
images_shoes\image_3_MP002XM0BIOS_24598193_4_v1.jpg,зима,"термополиуретан, этиленвинилацетат","искусственная кожа, текстиль",черный,
